Team,,,Board 1,,Rtg,Price,Board 2,,Rtg,Price,Board 3,,Rtg,Price,Board 4,,Rtg,Price,Board 5,,Rtg,Price,Board 6,,Rtg,Price,Board 7,,Rtg,Price,Board 8,,Rtg,Price,Board 9,,Rtg,Price,Board 10,,Rtg,Price,Average,Team Total,,,,,,
Team 1,,,pepellou,,2232,"$2,232",HampshireHawk,,2130,"$2,580",pulsar512b,,1977,"$1,768",rsmillie94,,1914,"$1,848",BobAnderson52,,1875,"$1,977",SteveMcKinnon,,1837,"$2,173",ReheatedLeftovers,,1770,"$2,011",cathode-ray-jepsen,,1770,"$2,786",KapuBen,,1567,"$1,503",DamianDragon,,1328,$767,1840,"$19,645",,,,,,
Team 2,,,DJ-Logan,,2143,"$1,207",LeoYee,,2110,"$2,344",AACtrl,,1995,"$1,983",primeideal,,1929,"$2,028",TheScythian,,1815,"$1,264",ericBG,,1811,"$1,860",kamekura,,1738,"$1,628",mahjoub98,,1743,"$2,469",Pifisch,,1636,"$2,322",slam267,,1496,"$2,614",1841.6,"$19,719",,,,,,
Team 3,,,Razorneck,,2233,"$2,244",Zubenelgenubi,,2103,"$2,261",Karpyan,,2025,"$2,342",N00b001,,1949,"$2,268",kramopolis,,1870,"$1,917",Wo_Cheng_Si_Le,,1837,"$2,173",mfeeney88,,1776,"$2,083",ipr,,1701,"$1,966",vonSlattery,,1674,"$2,766",Lexgrad,,1257,$200,1842.5,"$20,220",,,,,,
The Knight Shift,,,Michael-Westen,,2286,"$2,847",bufferunderrun,,2047,"$1,593",pioki,,2021,"$2,294",kocimietka,,1962,"$2,424",Roofies,,1991,"$3,323",elTaljin,,1860,"$2,448",mrlam,,1773,"$2,047",Archilas,,1699,"$1,942",diegohdragon,,1631,"$2,263",epabarker,,1283,$322,1855.3,"$21,503",,,,,,
Team 5,,,Like-a-hurricane,,2427,"$4,239",Kjar,,2112,"$2,368",Paulze2000,,1974,"$1,732",AbuShaitan,,1915,"$1,860",amanlikekennyken,,1855,"$1,737",iamtheknight2,,1847,"$2,293",Jputterg,,1769,"$1,999",secretarisvogel,,1721,"$2,207",ruhib,,1555,"$1,363",Dawn4365,,1305,$535,1848,"$20,333",,,,,,
Team 6,,,drchessdad,,2156,"$1,354",mqj,,2032,"$1,417",j123dh,,2014,"$2,211",rodeo,,1938,"$2,136",goirish,,1884,"$2,085",TheGrandChessKnight,,1808,"$1,824",SlimanX,,1751,"$1,783",bungalowboi,,1683,"$1,750",thiccclouds,,1629,"$2,239",pat219,,1467,"$2,291",1836.2,"$19,090",,,,,,
Team 7,,,FlokiTheCat,,2209,"$1,965",j3084,,2026,"$1,347",Seraya191,,2005,"$2,103",weetbix2,,1906,"$1,752",plastic_pusher,,1850,"$1,677",STCLion,,1855,"$2,389",vishAnan,,1751,"$1,783",jameslatham,,1732,"$2,338",jeremyjh,,1606,"$1,965",Dingoe12,,1613,"$3,821",1855.3,"$21,140",,,,,,
Team 8,,,rezoons,,2177,"$1,595",y3LL3r,,2042,"$1,534",Aphla,,1854,$382,flaxl,,1929,"$2,028",cowtone,,1850,"$1,677",Gokuba,,1807,"$1,812",housesounds,,1786,"$2,203",psmathgeek,,1695,"$1,894",AleksandrSudak,,1586,"$1,727",matt_chess_play,,1501,"$2,669",1822.7,"$17,521",,,,,,
Fork and Knight,,,Aidoz,,2270,"$2,668",f1nn33,,2099,"$2,213",snorcal,,1984,"$1,852",RunningInVienna,,1830,$867,Aaronmb2,,1841,"$1,570",pinbsg21,,1813,"$1,884",marian_roman,,1738,"$1,628",quaini,,1655,"$1,417",King_killer27,,1608,"$1,989",tpk1024,,1509,"$2,757",1834.7,"$18,845",,,,,,
Team 10,,,jacade,,2232,"$2,232",grabhispieces,,2045,"$1,570",pie314271,,2064,"$2,801",eigentor,,1936,"$2,112",Narski,,1879,"$2,025",Clarinetref,,1820,"$1,968",flyhalf2k14,,1771,"$2,023",Le-Penseur,,1707,"$2,039",rhiehn,,1633,"$2,286",Ezze_13,,1312,$604,1839.9,"$19,660",,,,,,
